Timestamp, Multiplier
202211090000180001, 5.64
202211090000560001, 1.88
202211090001190001, 2.91
202211090001480001, 1.26
202211090002040001, 1.00
202211090002170001, 1.51
202211090002360001, 1.09
202211090002510001, 2.79
202211090003190001, 12.48
202211090004090001, 1.24
202211090004250001, 1.02
202211090004390001, 5.56
202211090005170001, 1.73
202211090005380001, 4.67
202211090006140001, 1.15
202211090006290001, 3.25
202211090007000001, 3.53
202211090007310001, 1.31
202211090007480001, 1.16
202211090008030001, 15.92
202211090008570001, 2.83
202211090009260001, 1.28
202211090009430001, 1.15
202211090009580001, 1.88
202211090010200001, 1.05
202211090010340001, 11.93
202211090011240001, 7.10
202211090012060001, 11.10
202211090012540001, 1.62
202211090013140001, 3.28
202211090013450001, 1.00
202211090013580001, 1.28
202211090014150001, 1.73
202211090014360001, 1.01
202211090014490001, 4.39
202211090015240001, 1.65
202211090015440001, 1.15
202211090015590001, 1.02
202211090016130001, 1.01
202211090016260001, 2.28
202211090016510001, 3.63
202211090017230001, 3.45
202211090017550001, 3.01
202211090018240001, 1.09
202211090018380001, 103.11
202211090020000001, 5.14
202211090020370001, 1.67
202211090020580001, 1.40
202211090021160001, 7.55
202211090021590001, 1.09
202211090022130001, 1.08
202211090022270001, 1.14
202211090022420001, 1.60
202211090023020001, 14.25
202211090023540001, 10.97
202211090024430001, 2.02
202211090025060001, 1.18
202211090025220001, 41.29
202211090026300001, 4.43
202211090027050001, 1.08
202211090027190001, 2.10
202211090027430001, 1.25
202211090027590001, 1.74
202211090028200001, 3.01
202211090028500001, 6.88
202211090029310001, 1.11
202211090029460001, 3.42
202211090030170001, 1.28
202211090030340001, 2.21
202211090030590001, 1.47
202211090031170001, 48.23
202211090032280001, 1.26
202211090032440001, 2.46
202211090033110001, 2.51
202211090033370001, 17.05
202211090034320001, 1.60
202211090034520001, 2.77
202211090035200001, 3.74
202211090035530001, 1.39
202211090036110001, 1.97
202211090036340001, 1.23
202211090036500001, 2.05
202211090037140001, 1.10
202211090037280001, 9.34
202211090038140001, 8.68
202211090038590001, 1.47
202211090039180001, 3.63
202211090039500001, 1.31
202211090040070001, 1.03
202211090040200001, 1.06
202211090040340001, 1.88
202211090040570001, 1.00
202211090041100001, 2.34
202211090041350001, 1.33
202211090041530001, 1.41
202211090042110001, 3.91
202211090042440001, 1.10
202211090042590001, 2.47
202211090043250001, 2.06
202211090043490001, 1.00
202211090044020001, 28.27
202211090045040001, 112.37
202211090046270001, 1.64
202211090046470001, 28.56
202211090047500001, 8.95
202211090048350001, 1.90
202211090048580001, 1.22
202211090049140001, 1.77
202211090049350001, 20.78
202211090050330001, 3.15
202211090051030001, 2.50
202211090051300001, 1.95
202211090051530001, 3.78
202211090052250001, 1.55
202211090052450001, 4.89
202211090053210001, 5.58
202211090054000001, 1.69
202211090054210001, 1.11
202211090054350001, 2.54
202211090055020001, 1.07
202211090055160001, 14.11
202211090056080001, 1.19
202211090056240001, 10.20
202211090057110001, 1.13
202211090057260001, 1.11
202211090057410001, 4.37
202211090058160001, 1.07
202211090058300001, 3.82
202211090059020001, 6.57
202211090059430001, 4.27
202211090100180001, 4.22
202211090100520001, 1.30
202211090101090001, 6.62
202211090101500001, 1.74
202211090102110001, 1.59
202211090102310001, 7.26
202211090103130001, 2.74
202211090103410001, 1.96
202211090104040001, 1.48
202211090104230001, 1.30
202211090104400001, 1.05
202211090104540001, 1.43
202211090105120001, 1.35
202211090105300001, 1.98
202211090105530001, 1.50
202211090106120001, 256.00
202211090107470001, 1.83
202211090108090001, 2.41
202211090108350001, 2.51
202211090109010001, 1.01
202211090109150001, 5.88
202211090109540001, 4.52
202211090110290001, 1.68
202211090110500001, 45.86
202211090111590001, 1.30
202211090112160001, 2.35
202211090112420001, 2.47
202211090113080001, 1.25
202211090113250001, 19.12
202211090114210001, 1.01
202211090114350001, 1.49
202211090114530001, 2.26
202211090115190001, 1.09
202211090115330001, 95.37
202211090116530001, 1.08
202211090117070001, 1.28
202211090117240001, 1.07
202211090117380001, 2.06
202211090118020001, 9.09
202211090118480001, 1.79
202211090119090001, 2.81
202211090119380001, 1.28
202211090119540001, 1.05
202211090120080001, 2.38
202211090120340001, 6.28
202211090121140001, 1.38
202211090121320001, 1.47
202211090121510001, 1.55
202211090122100001, 1.75
202211090122310001, 2.08
202211090122550001, 1.33
202211090123130001, 1.12
202211090123270001, 2.18
202211090123520001, 1.22
202211090124080001, 3.33
202211090124390001, 3.08
202211090125080001, 2.01
202211090125320001, 29.66
202211090126350001, 2.81
202211090127030001, 1.59
202211090127230001, 5.48
202211090128010001, 1.87
202211090128240001, 10.80
202211090129120001, 1.51
202211090129310001, 1.11
202211090129460001, 1.40
202211090130040001, 2.40
202211090130300001, 41.80
202211090131380001, 12.60
202211090132280001, 1.90
202211090132510001, 1.26
202211090133070001, 1.39
202211090133250001, 1.59
202211090133450001, 71.44
202211090135010001, 1.22
202211090135170001, 1.83
202211090135390001, 1.95
202211090136020001, 8.25
202211090136460001, 1.72
202211090137070001, 114.13
202211090138310001, 2.94
202211090139000001, 1.05
202211090139130001, 1.14
202211090139280001, 1.26
202211090139450001, 1.80
202211090140070001, 2.88
202211090140350001, 1.74
202211090140560001, 1.45
202211090141150001, 1.11
202211090141300001, 1.54
202211090141490001, 2.99
202211090142180001, 2.24
202211090142430001, 1.99
202211090143060001, 1.26
202211090143230001, 1.04
202211090143360001, 1.07
202211090143500001, 11.83
202211090144400001, 7.11
202211090145220001, 2.24
202211090145470001, 2.06
202211090146110001, 1.16
202211090146260001, 1.12
202211090146410001, 1.60
202211090147010001, 2.82
202211090147290001, 1.28
202211090147460001, 2.78
202211090148140001, 10.76
202211090149020001, 15.27
202211090149550001, 3.54
202211090150270001, 3.84
202211090151000001, 13.22
202211090151510001, 5.54
202211090152300001, 1.79
202211090152510001, 1.66
202211090153120001, 5.40
202211090153500001, 1.17
202211090154050001, 8.85
202211090154510001, 215.52
202211090156230001, 1.80
202211090156450001, 2.49
202211090157110001, 7.99
202211090157550001, 1.16
202211090158100001, 1.45
202211090158290001, 9.09
202211090159140001, 4.67
202211090159500001, 102.84
202211090201120001, 3.96
202211090201450001, 1.35
202211090202030001, 256.00
202211090203380001, 3.01
202211090204070001, 1.27
202211090204240001, 2.14
202211090204480001, 1.25
202211090205040001, 1.98
202211090205270001, 1.09
202211090205420001, 1.98
202211090206050001, 1.46
202211090206230001, 1.21
202211090206390001, 1.43
202211090206570001, 5.30
202211090207350001, 2.63
202211090208020001, 2.96
202211090208320001, 8.96
202211090209170001, 1.01
202211090209300001, 3.51
202211090210020001, 14.50
202211090210540001, 1.36
202211090211120001, 2.04
202211090211360001, 1.78
202211090211570001, 1.18
202211090212130001, 3.87
202211090212460001, 1.12
202211090213000001, 5.52
202211090213390001, 1.04
202211090213520001, 1.14
202211090214070001, 1.29
202211090214240001, 1.20
202211090214400001, 1.13
202211090214550001, 1.79
202211090215160001, 3.07
202211090215460001, 1.39
202211090216040001, 1.00
202211090216170001, 1.55
202211090216360001, 1.02
202211090216500001, 2.00
202211090217130001, 1.43
202211090217310001, 1.39
202211090217490001, 1.15
202211090218040001, 1.66
202211090218250001, 1.19
202211090218400001, 2.26
202211090219060001, 1.62
202211090219260001, 8.06
202211090220100001, 5.48
202211090220480001, 1.12
202211090221030001, 13.77
202211090221540001, 2.99
202211090222240001, 4.29
202211090222580001, 1.59
202211090223180001, 2.91
202211090223470001, 1.24
202211090224030001, 1.23
202211090224190001, 1.50
202211090224380001, 53.39
202211090225500001, 1.36
202211090226080001, 16.52
202211090227020001, 4.45
202211090227370001, 6.89
202211090228190001, 3.38
202211090228500001, 2.24
202211090229150001, 1.80
202211090229360001, 1.28
202211090229530001, 1.20
202211090230090001, 7.18
202211090230510001, 6.56
