Timestamp, Multiplier
202211060000510001, 2.66
202211060001190001, 1.01
202211060001320001, 1.30
202211060001490001, 5.17
202211060002260001, 1.27
202211060002430001, 5.92
202211060003220001, 1.26
202211060003390001, 1.29
202211060003550001, 1.36
202211060004130001, 1.00
202211060004260001, 1.13
202211060004410001, 1.20
202211060004570001, 1.33
202211060005140001, 2.18
202211060005390001, 29.05
202211060006410001, 1.27
202211060006580001, 2.33
202211060007230001, 1.13
202211060007380001, 4.14
202211060008120001, 1.53
202211060008320001, 4.96
202211060009080001, 1.22
202211060009240001, 2.74
202211060009520001, 1.54
202211060010120001, 13.26
202211060011030001, 21.28
202211060012010001, 1.80
202211060012230001, 1.70
202211060012440001, 1.39
202211060013020001, 1.74
202211060013230001, 4.47
202211060013580001, 1.08
202211060014120001, 2.86
202211060014410001, 2.19
202211060015050001, 5.22
202211060015430001, 1.12
202211060015580001, 1.69
202211060016180001, 3.12
202211060016480001, 12.40
202211060017390001, 36.01
202211060018450001, 1.11
202211060018590001, 1.66
202211060019200001, 2.72
202211060019470001, 2.95
202211060020160001, 1.27
202211060020330001, 9.70
202211060021200001, 5.74
202211060021590001, 3.66
202211060022310001, 1.03
202211060022440001, 1.11
202211060022590001, 4.48
202211060023340001, 1.76
202211060023550001, 1.75
202211060024170001, 1.49
202211060024360001, 6.83
202211060025170001, 1.09
202211060025310001, 2.40
202211060025570001, 1.37
202211060026150001, 1.95
202211060026380001, 2.56
202211060027050001, 38.33
202211060028120001, 1.04
202211060028250001, 4.88
202211060029020001, 1.15
202211060029170001, 1.05
202211060029310001, 1.50
202211060029500001, 1.05
202211060030040001, 1.09
202211060030180001, 3.24
202211060030480001, 1.61
202211060031080001, 2.57
202211060031350001, 1.02
202211060031490001, 4.23
202211060032230001, 1.40
202211060032410001, 2.54
202211060033080001, 7.71
202211060033510001, 2.52
202211060034180001, 2.03
202211060034410001, 1.55
202211060035010001, 1.71
202211060035220001, 11.83
202211060036110001, 2.34
202211060036370001, 3.63
