Timestamp, Multiplier
202211080000240001, 2.80
202211080000530001, 1.24
202211080001090001, 1.29
202211080001260001, 6.11
202211080002050001, 2.57
202211080002320001, 2.61
202211080003000001, 1.08
202211080003140001, 2.48
202211080003400001, 65.70
202211080004550001, 1.99
202211080005180001, 9.99
202211080006050001, 1.14
202211080006200001, 2.88
202211080006490001, 5.29
202211080007270001, 3.25
202211080007570001, 1.27
202211080008140001, 4.09
202211080008480001, 4.85
202211080009240001, 2.66
202211080009520001, 1.18
202211080010070001, 11.74
202211080010570001, 26.76
202211080011580001, 1.33
202211080012160001, 1.55
202211080012350001, 256.00
202211080014100001, 1.00
202211080014230001, 2.55
202211080014500001, 1.20
202211080015060001, 1.00
202211080015190001, 1.28
202211080015360001, 1.82
202211080015580001, 1.20
202211080016130001, 6.38
202211080016540001, 1.70
202211080017150001, 6.09
202211080017540001, 6.91
202211080018360001, 15.46
202211080019290001, 7.18
202211080020120001, 8.18
202211080020560001, 2.72
202211080021240001, 44.77
202211080022330001, 3.85
202211080023060001, 1.26
202211080023220001, 1.12
202211080023370001, 1.71
202211080023580001, 1.04
202211080024120001, 51.47
202211080025230001, 10.59
202211080026110001, 1.70
202211080026320001, 8.19
202211080027160001, 1.31
202211080027330001, 2.52
202211080027590001, 1.40
202211080028170001, 2.61
202211080028450001, 1.60
202211080029050001, 1.67
202211080029250001, 8.13
202211080030090001, 1.20
202211080030250001, 1.09
202211080030390001, 3.12
202211080031090001, 1.52
202211080031280001, 12.99
202211080032190001, 4.96
202211080032560001, 1.24
202211080033120001, 1.88
202211080033350001, 6.10
202211080034140001, 5.30
202211080034520001, 1.83
202211080035140001, 2.34
202211080035400001, 2.17
202211080036040001, 5.96
202211080036440001, 1.74
202211080037050001, 4.91
202211080037410001, 1.18
202211080037570001, 1.49
202211080038160001, 1.55
202211080038350001, 56.15
202211080039480001, 9.10
202211080040340001, 54.02
202211080041460001, 4.81
202211080042220001, 1.27
202211080042380001, 29.33
202211080043410001, 2.85
202211080044100001, 6.63
202211080044510001, 1.98
202211080045140001, 4.34
202211080045490001, 1.85
202211080046110001, 1.23
202211080046270001, 1.02
202211080046400001, 3.54
202211080047120001, 1.02
202211080047250001, 2.26
202211080047500001, 1.04
202211080048040001, 1.39
202211080048220001, 1.00
202211080048350001, 1.55
202211080048540001, 1.02
202211080049080001, 1.99
202211080049310001, 3.13
202211080050010001, 1.02
202211080050140001, 1.31
202211080050310001, 1.74
202211080050520001, 2.53
202211080051190001, 1.57
202211080051390001, 5.20
202211080052160001, 1.11
202211080052310001, 1.36
202211080052480001, 11.35
202211080053370001, 1.55
202211080053570001, 1.64
202211080054170001, 1.53
202211080054370001, 1.78
202211080054580001, 1.11
202211080055130001, 1.38
202211080055310001, 3.00
202211080056000001, 1.22
202211080056160001, 2.07
202211080056400001, 2.99
202211080057090001, 2.57
202211080057360001, 2.12
202211080058000001, 1.36
202211080058180001, 1.05
202211080058320001, 3.10
202211080059010001, 17.33
202211080059570001, 2.34
202211080100220001, 1.24
202211080100380001, 113.58
202211080102010001, 1.05
202211080102150001, 126.39
202211080103400001, 2.82
202211080104080001, 4.94
202211080104450001, 2.08
202211080105090001, 1.11
202211080105230001, 2.26
202211080105480001, 10.70
202211080106370001, 13.52
202211080107280001, 3.59
202211080108000001, 5.62
202211080108390001, 1.06
202211080108520001, 1.40
202211080109100001, 1.15
202211080109260001, 1.52
202211080109450001, 1.29
202211080110020001, 1.25
202211080110180001, 1.00
202211080110310001, 1.68
202211080110520001, 2.24
202211080111170001, 1.71
202211080111380001, 1.00
202211080111510001, 1.58
202211080112110001, 1.59
202211080112300001, 3.34
202211080113010001, 2.53
202211080113280001, 1.42
202211080113460001, 1.04
202211080114000001, 1.87
202211080114220001, 1.76
202211080114440001, 16.30
202211080115380001, 2.36
202211080116040001, 89.12
202211080117230001, 1.38
202211080117410001, 1.37
202211080117590001, 3.77
202211080118310001, 2.52
202211080118580001, 5.63
202211080119370001, 1.28
202211080119530001, 1.20
202211080120090001, 7.75
202211080120520001, 1.06
202211080121060001, 1.17
202211080121220001, 1.32
202211080121390001, 4.90
202211080122150001, 4.30
202211080122500001, 256.00
202211080124250001, 1.70
202211080124460001, 1.70
202211080125070001, 4.35
202211080125410001, 1.03
202211080125550001, 3.27
202211080126250001, 1.53
202211080126450001, 1.08
202211080126590001, 8.60
202211080127440001, 1.53
202211080128030001, 2.50
202211080128300001, 1.17
202211080128450001, 1.15
202211080129000001, 1.90
202211080129230001, 2.20
202211080129470001, 1.32
202211080130050001, 2.88
202211080130330001, 1.12
202211080130480001, 1.17
202211080131030001, 13.72
202211080131550001, 1.04
202211080132090001, 5.66
202211080132470001, 3.73
202211080133200001, 1.47
202211080133390001, 1.74
202211080134000001, 5.25
202211080134370001, 1.00
202211080134510001, 1.04
202211080135040001, 1.03
202211080135180001, 1.76
202211080135390001, 21.58
202211080136380001, 1.03
202211080136510001, 11.90
202211080137410001, 1.85
202211080138030001, 1.56
202211080138220001, 4.63
202211080138580001, 2.42
202211080139240001, 5.64
202211080140030001, 2.82
202211080140310001, 1.22
202211080140470001, 256.00
202211080142220001, 3.96
202211080142560001, 1.15
202211080143110001, 3.25
202211080143410001, 256.00
202211080145160001, 8.19
202211080146000001, 1.69
202211080146210001, 3.58
202211080146530001, 2.25
202211080147180001, 7.66
202211080148010001, 5.03
202211080148380001, 23.07
202211080149370001, 4.38
202211080150120001, 2.75
202211080150400001, 1.60
202211080151000001, 9.91
202211080151470001, 1.60
202211080152070001, 2.10
202211080152310001, 3.45
202211080153030001, 3.07
202211080153320001, 1.67
202211080153530001, 1.30
202211080154100001, 1.25
202211080154260001, 1.13
202211080154410001, 1.42
202211080154590001, 8.15
202211080155430001, 1.61
202211080156030001, 2.94
202211080156320001, 1.10
202211080156470001, 3.22
202211080157170001, 40.16
202211080158250001, 1.71
202211080158460001, 1.03
202211080158590001, 2.26
202211080159240001, 2.11
202211080159480001, 3.04
202211080200180001, 1.68
202211080200390001, 5.74
202211080201170001, 1.43
202211080201360001, 2.18
202211080202000001, 1.04
202211080202140001, 6.26
202211080202540001, 50.86
202211080204050001, 1.93
202211080204280001, 1.74
202211080204490001, 1.06
202211080205030001, 22.72
202211080206020001, 7.45
202211080206450001, 2.25
202211080207100001, 1.02
202211080207230001, 4.58
202211080207590001, 3.62
202211080208310001, 33.76
202211080209360001, 1.42
202211080209540001, 1.95
202211080210170001, 31.22
202211080211210001, 1.00
202211080211340001, 2.68
202211080212020001, 1.32
202211080212190001, 2.52
202211080212460001, 46.25
202211080213550001, 1.33
202211080214130001, 7.53
202211080214550001, 32.09
202211080216000001, 3.45
202211080216310001, 5.57
202211080217100001, 8.72
202211080217550001, 5.55
202211080218330001, 6.00
202211080219130001, 18.41
202211080220090001, 1.35
202211080220260001, 1.11
202211080220410001, 1.15
202211080220560001, 6.58
202211080221370001, 1.54
202211080221560001, 2.20
202211080222210001, 28.91
202211080223240001, 2.20
202211080223480001, 1.85
202211080224100001, 3.00
202211080224400001, 6.31
202211080225200001, 1.67
202211080225410001, 1.35
202211080225580001, 14.65
202211080226510001, 4.35
202211080227260001, 2.69
202211080227530001, 3.64
202211080228250001, 2.96
202211080228550001, 7.00
202211080229360001, 1.75
202211080229580001, 56.97
202211080231100001, 3.57
202211080231420001, 3.48
202211080232140001, 1.50
202211080232330001, 17.30
202211080233280001, 13.02
202211080234190001, 4.24
202211080234530001, 6.10
202211080235330001, 1.09
202211080235480001, 2.20
202211080236120001, 1.23
202211080236280001, 2.09
202211080236520001, 1.07
202211080237060001, 1.05
202211080237200001, 2.32
202211080237460001, 1.23
202211080238020001, 2.78
202211080238300001, 2.21
202211080238550001, 1.35
202211080239120001, 1.00
202211080239250001, 3.62
202211080239570001, 1.27
202211080240140001, 1.15
202211080240290001, 1.19
202211080240450001, 4.07
202211080241180001, 1.91
202211080241410001, 4.95
202211080242180001, 1.86
202211080242400001, 1.16
202211080242550001, 1.12
202211080243100001, 1.60
202211080243300001, 1.11
202211080243440001, 1.97
202211080244080001, 7.90
202211080244510001, 5.39
202211080245290001, 1.42
202211080245470001, 21.45
202211080246460001, 256.00
202211080248210001, 2.37
